Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
OHM+FRAXBP ;0x06f691180F643B35E3644a2296a4097E1f577d0d;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;120.167056;656.455737;0.38
arbi-zunETH+WETH ;0x39D053f054e9e5E5ADA759FBDDCEc904D43e9B7c;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;5877.024850;280.416699;0.16
WETH+ZUN ;0xdA22f2De17547E3A5CADcC960EB4e9cfDC52e10A;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;5194.379085;247.844900;0.14
zunETH+pxETH ;0xf792934842e86f964bDF19A439797a6e3c9fE17B;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;21959.422861;1047.773154;0.61
SDT+cvgSDT ;0x63DC752E11D4c9D0f2160DA20EdF2111FECB0a66;crvUSD;0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E;270.294365;466.152425;0.27
cbBTC+WBTC ;0xc62B10c61BF060eBf40A60859dCDbeA025Fc7e2e;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;1653.015744;2847.361826;1.66
CVX+clevCVX ;0x7970489a543FB237ABab63d62524d8A5CE165B86;CVX;0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B;142.532408;1026.072766;0.60
DOLA+scrvUSD ;0xd51E1Eee15eF7dc924AAA8B82ff2D2E73408F58c;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;178.607109;14708.616707;8.55
CVX1+cvgCVX ;0xeE624fCbb0C197E41ffc58999e6D35b9B893533E;crvUSD;0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E;421.607884;727.109265;0.42
ETH+frxETH ;0x2932a86df44Fe8D2A706d8e9c5d51c24883423F5;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;220.919097;1206.849979;0.70
DOLA+sUSDe ;0x8f5e52BE9B7BDe850BA13e40284F63f14677058f;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;180.895030;14897.031108;8.66
DOLA+crvUSD ;0xEcAD6745058377744c09747b2715c0170B5699e5;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;27.130412;2234.238262;1.30
sDOLA+alUSD ;0x19f9266f349158b54a6D95dCe79297DF670f7F14;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;267.545016;8361.464032;4.86
ETH+ETHx ;0x7671299eA7B4bbE4f3fD305A994e6443b4be680E;SD;0x30D20208d987713f46DFD34EF128Bb16C404D10f;1284.585496;2604.132567;1.51
FRAX+USDC ;0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;237.325769;1296.477321;0.75
lend-crvUSD;0x30e06CADFbC54d61B7821dC1e58026bf3435d2Fe;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;130.815948;10772.928648;6.26
MIM+3Crv ;0xd8b712d29381748dB89c36BCa0138d7c75866ddF;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;45578077.224864;53861.905459;31.31
arbi-USDT+EYWA ;0xae0f794Bc4Cad74739354223b167dbD04A3Ac6A5;Unknown;0x7A10F506E4c7658e6AD15Fdf0443d450B7FA80D7;66486.240000;0.000000;0.00
alETH+pxETH ;0x4C5a449c6B81b800938EFCCDB41970e9CF9eC478;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;123.562374;3861.639302;2.25
ETH+OETH ;0xd03BE91b1932715709e18021734fcB91BB431715;OGN;0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26;49475.316441;9051.794681;5.26
USDC+WETH+INV ;0x4Fc86cd0F9b650280Fa783e3116258e0E0496A2c;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;34.986106;2881.168735;1.68
DOLA+sUSDS ;0x8B0aBcFC78a5c14520682FCD76A0E52B71126079;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;135.730157;11177.622579;6.50
crvUSD+CJPY ;0xa5Dc66685bD13A0924505807c29F8C65dDa0d207;CJPY;0x1cfa5641c01406aB8AC350dEd7d735ec41298372;37085.956974;377.974660;0.22
COIL+FRAXBP ;0x06B30D5F2341C2FB3F6B48b109685997022Bd272;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;1002.583751;5476.974122;3.18
GHO+cbBTC+WETH ;0x1E4B83f6bFE9dbeB6d5b92a5237E5c18a44176f4;GHO;0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f;5048.076923;8811.860027;5.12
arbi-USDT+EYWA ;0xae0f794Bc4Cad74739354223b167dbD04A3Ac6A5;sdCRV;0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5;13128.000000;13128.000000;7.63
